source_profile,post_url,likes,comments_count,followers,score_engajamento,position
prefeituradeigarassu,https://www.instagram.com/prefeituradeigarassu/p/DT7z16fkVSM/,1501,127,75090,62.43,1
prefeituradeigarassu,https://www.instagram.com/cten_oficial/p/DT0ODwDjQ_i/,1341,46,75090,61.16,2
prefeituradeigarassu,https://www.instagram.com/educacaodeigarassu/p/DT0-fpqEeVO/,915,94,75090,58.12,3
